title	call_to_action_label	call_to_action_explanation
Congratulations for Niuean COVID_19 vaccination programme	Moderate	The announcement urges the public to get their second dose of the vaccine and to obtain their Vaccine Pass, but this call to action is not presented with a high sense of urgency or strong, compelling language. The message is embedded within a larger narrative informing about the new measures and acknowledging the progress so far, thus it qualifies for a moderate call to action.
Prime Minister Concludes APEC Economic Leaders_ Summit	Moderate	The announcement provides a moderate call to action as it encourages the public to take advantage of the extended access to free flu vaccines and second COVID-19 booster shots - specifically those who fall into the mentioned risk groups. However, the language used is not particularly direct and compelling urging immediate action. Phrases like "please act now," or "The best thing New Zealanders can do... is to be up-to-date with their flu and COVID-19 vaccinations and boosters," suggest the government is encouraging participation in the vaccination process, but it's not highly pressing or explicit. It's more focused on recommendations and explaining the benefits of following these recommendations, and provided information how to access vaccines.
Booster interval reduced to three months	None	The announcement solely focuses on informing the public about the government's fiscal position, responses to the COVID pandemic, and future plans. It does not urge the public to take any specific action.
Air connectivity scheme helping recovery take off	None	This announcement does not address the public or reader with any specific actions to take. Instead, it focuses on conveying information regarding the government's support to Tokelau in response to their first cases of COVID-19. It outlines the medical supplies being sent, previous and ongoing support, and emphasizes Tokelau's preparedness. The intent of the announcement is primarily informational, detailing the government's actions rather than directing any for the public.
First step in managed isolation changes_ expanding QFT with Pacific	None	The announcement is primarily focused on sharing information about the Foreign Minister Nanaia Mahuta's recent visit to Niue and the discussions held during the visit. It mentions the government's actions, plans, and priorities regarding climate change, education, language preservation, and COVID-19 pandemic response. However, it does not explicitly call upon the public or the reader to respond or take any specific action.
Mandatory vaccination for two workforces	None	The announcement primarily focuses on detailing the support and actions carried out by New Zealand in Fiji in response to the COVID-19 pandemic, and does not directly instruct the reader or the public to take any specific actions. Thus, the announcement serves more as a status update rather than a call for public action.
Trade and Export Growth Minister to travel to Bangkok for APEC	None	The announcement does not contain any specific request or suggestion for the reader or the public to follow. The focus is exclusively on informing and describing the actions, achievements and future plans of the government and APEC leaders, without urging any action from the audience.
New Zealand donates further COVID_19 vaccines to COVAX and Pacific Islands	None	This announcement focuses on notifying the public about the regulatory approval of Janssen's COVID-19 vaccine, the potential uses for this vaccine, and the vaccination plans of the government. There are no instructions or direct requests made by the government to the public to perform any specific actions. Instead, the emphasis is on providing information on governmental decisions and actions.
Extra support to help farmers and growers affected by positive cases of COVID_19	None	This government announcement does not contain any direct requests or suggestions for the public or reader to take specific actions. All of the described actions and plans are those that the government will take or is taking. The focus of the text is on informing the public about the government's support for Pacific partners in accessing COVID-19 vaccines, rather than on urging readers to participate or respond in a certain way.
Success for Ministry at one year milestone	None	This government announcement's primary intent is to inform rather than to compel the audience or reader to action. It is discursive, exploring New Zealand's international relations policies, and its response to COVID-19 and other global challenges. However, there isn't any direct urging for the public or readers to undertake any specific action. Instead, it elaborates on the government's actions, decisions, and future plans.
Early Pfizer shipment boosts vaccine schedule	None	The announcement makes no direct request or suggestion for the public or reader to take any specific action. Instead, it focuses primarily on informing the public of the Government's response to the COVID-19 crisis, its fiscal strategy, victorious economic recovery, and affirmation from the credit rating agency Fitch. It also stresses the ongoing global uncertainty around the COVID-19 pandemic.
COVID_19 vaccine for urgent overseas travel	None	The announcement primarily informs about the government's funding plans and initiatives to boost Māori vaccination rates against COVID-19. It discusses the deployment of this funding across different initiatives and areas. However, there's no explicit call to action directed towards the reader or public, as it does not encourage or urge them to participate in a specific way, such as getting vaccinated or following certain guidelines. The announcement's main purpose seems to be information dissemination rather than urging any direct actions.
Second batch of Pfizer_BioNTech doses arrives safely _ as the first vaccinations take place in the South Island	None	In the presented government announcement, there is no direct request or appeal directed at the public or reader to take any specific action. The statement is primarily informative, outlining the arrival of the COVID-19 vaccine, plans for its distribution, and those who will receive the vaccine in the initial phases. It's designed primarily to keep the public informed about current actions and future plans related to the vaccine rollout.
Aotearoa NZ responds to COVID_19 in Niue	Moderate.	The announcement, while providing information on the government's measures to combat COVID-19, also encourages the public to take certain actions. It urges citizens to keep up with vaccinations, stay at home if they're unwell, wear masks in healthcare settings, and isolate if they become a COVID-19 case. Furthermore, it recommends healthcare visitors to wear masks and suggests eligible individuals to get vaccinated, and boosted when due. However, the language used isn't highly compelling or direct, hence this is considered a moderate call to action.
Govt backs business to vaccinate workforces	Strong	The government announcement repeatedly urges unvaccinated New Zealanders to get their COVID-19 vaccine, which is the primary call to action. This call to action is presented with high urgency, direct language and repeated emphasis in phrases like "The choice is clear for anyone who wants to go to a bar, restaurant, gym or to attend gatherings" and "If you want to do the things you love then you need to get vaccinated" and lastly, "If you haven’t booked a first dose – do it today." The announcement makes the benefits of vaccination clear and implies that freedoms and safety lie in people's hands if they choose to take action and get the vaccine.
Budget boost to tackle on_farm emissions	Moderate	The announcement encourages the public to vaccinate their children aged 5 to 11 against COVID-19 by presenting the benefits of the vaccine and emphasizing its safety, although taking this action is presented as a choice for parents rather than a demand. The call to action is moderately urgent, as it asks parents to contribute to the broader public health goal by vaccinating their children, but does not use language insistent on immediate action. Detailed instructions and options for securing a vaccination appointment are also provided, reinforcing the call to action.
New Zealand to stay at Red as vaccine passes and most mandates end	None	This announcement is primarily informative in nature, detailing the government's increased funding plans to support Māori communities and health providers during the COVID-19 pandemic. It outlines where the funds are going and why they are needed, but there is no direct call to action targeting the public or the reader. The closest thing to a call-to-action is the advice at the end for Māori and iwi organisations to contact their local Te Puni Kōkiri office to apply for funding, but this is more of a general direction rather than an immediate call to action.
10 million COVID_19 vaccine doses	Strong	The announcement strongly urges workers, particularly those in hospitality, events, close contact businesses, and gyms, to get vaccinated. It emphasizes the urgency by setting concrete dates by which the workers need to have their first dose and become fully vaccinated. It uses direct language aimed at these workers: "These workers will need to be fully vaccinated by 17 January 2022 to continue doing that work", and "for those who are not yet vaccinated... there are 10 days left to get your first dose. It is free, safe, and the most effective way to keep you, your whānau, business and customers safe". The call to action is compelling, highlighting the contribution these actions make to keeping all of New Zealand safe from COVID-19.
Record day for Māori vaccinations	None	The announcement primarily focuses on sharing information about New Zealand's vaccine donations to Tonga and Samoa and the subsequent impacts, but does not contain any statements that directly urge the public or reader to take a specific action. It details what the government is doing but does not explicitly implore the reader to participate or respond.
New Zealand to donate further COVID_19 vaccines to Fiji	Moderate	The announcement encourages eligible youngsters to take the COVID-19 Pfizer booster vaccine. There is repeated instructions to check eligibility, the benefits of taking the booster shot, and how to find a vaccination centre or calling the COVID Vaccination Healthline. This is a clear call to action, but it doesn't convey an immediate urgency as it's not leaning towards forcing or compelling the public. Rather, it is suggesting or recommending action.
Extending support for the COVID_19 elimination strategy to June 2022	None	The announcement primarily focuses on informing the public about the government's efforts in securing additional doses of the Pfizer/BioNTech vaccine and its plans for the rollout. It discusses the efficacy of the vaccine, logistical challenges, and plans for surplus doses. However, it does not directly urge or require the public to take any specific action such as getting vaccinated, following new guidelines, or participating in any initiative related to the COVID-19 response.
Government sets out plan to reconnect New Zealanders to the world	Strong	The announcement actively urges the public, and particularly fully vaccinated individuals, to take immediate action by obtaining the My Vaccine Pass as proof of their vaccination status. Phrases like "now is the time to get ready", "we're asking fully vaccinated New Zealanders", and "we're strongly encouraging those who’ve been putting off getting a vaccine to take that step now", illustrate a strong call to action. The action is directed towards preparing for the nationwide transition into the COVID-19 Protection Framework. The whole message can be seen as a direct call to both the vaccinated individuals and those yet to be vaccinated.
Financial support to move to traffic light system	None	The announcement primarily details the collaboration between New Zealand and Tonga in managing the impacts of COVID-19 and other local challenges. It discusses the various ways in which New Zealand has provided support, outlines the new partnership programme, and mentions meetings held with various officials and organizations. There is no direct or indirect request for the public or reader to take any action related to these topics. The primary purpose of the announcement is to inform the public about these actions and initiatives taken by the government.
Strengthening Trans_Tasman Ties_ Australia_New Zealand Foreign Minister Consultations	None	This government announcement is mainly focused on informing the public about the current economic situation, ongoing recovery processes, and future plans regarding budget and investments. Although it discusses issues of public interest such as the vaccine rollout, job creation, and opening up of the borders, it does not explicitly ask the public or the reader to take any kind of action. It only delivers information on the government's actions and approaches in tackling the pandemic and its economic ramifications. It also doesn't make any statement that implicitly demands action from the public.
Innovative te reo prediction tool announced in Te Wiki o Te Reo Māori	Moderate	The government announcement encourages the New Zealand public to stay up-to-date with their COVID-19 vaccinations and to download their updated My Vaccine Pass. The language use implies the importance of these actions but does not necessarily create a sense of immediate urgency. Terms such as "people are encouraged" and "it is a good idea" demonstrate that, while the actions are desirable, there is a moderate level of urgency. The announcement does not explicitly demand immediate action, making it a moderate call to action.
Free flu vaccines for more New Zealanders	None	The announcement is largely informative, providing details about the efforts and steps taken by the New Zealand government to prepare for the upcoming vaccination rollout. No specific or implied actions are requested or suggested for the public or reader to undertake. The focus is on the measures being put in place - new storage units, distribution measures, etc., - rather than asking the public to participate or respond in any manner.
Mandatory boosters for key workforces progressing well	Strong	The announcement uses direct and compelling language aimed specifically at the Pacific community in New Zealand, urging them to take immediate action. The primary action called for is to get vaccinated or receive a booster shot, especially for eligible Pacific children aged 5–11. Additionally, there is a call to various Pacific community groups to apply for funding to support local vaccination initiatives. The urgency and importance of this action is highlighted by the mention of the threat posed by the Omicron variant, the need for preparation, and the disparity in vaccination rates among different communities.
Govt tool to support workplace vaccination decision_making launches	Weak	The announcement briefly discusses the importance of the public getting vaccinated and increasing QR scanning at venues, but there is no strong or urgent language pushing the reader towards these actions. Most of the announcement focuses on the insight, plans, and actions of the government and the Strategic Covid-19 Public Health Advisory Group, rather than directly imploring the reader to participate or respond.
Omicron_ Government_s plan to minimise risk	None	While this government announcement aims to educate the public about the arrival of new COVID-19 medicines and the general direction in health policies, it does not explicitly ask the reader or the public to engage in any particular action. Instead, it focuses on informing them about the actions and plans taken by the government and healthcare agencies.
Two million Kiwis fully vaccinated	Strong	The announcement urges the public to participate in the flu vaccination drive, especially focusing on the vulnerable population. The Health Minister, Andrew Little, directly calls the readers by saying "I encourage everyone – and especially the most vulnerable – to get vaccinated." The urgency is accentuated with statements like "And this is no ordinary year," and the Minister's call for the public to get vaccinated underlines the importance of people's participation in the vaccination drive.
Further COVID_19 vaccine and economic support for the Pacific	None	This announcement does not directly implore the public or reader to take any action. Rather, it provides information about vaccine requirements for certain organizations and government actions extending vaccine mandates. While it stresses the importance of vaccination, it does not specifically ask the readers to do something, such as get vaccinated or encourage others to do so. Instead, it primarily focuses on actions and efforts by the government and these organizations.
Big jump in New Zealanders who say they_ll get vaccinated	Moderate	The announcement employs a moderate call to action by emphasizing the need for border workers to get vaccinated. It outlines the urgency in statements like "we need to see this number increased to avoid the risk of COVID-19 entering the country via our ports". It also calls upon employers to make it easy for their workers to get vaccine appointments and to urge their employees to get vaccinated. Whilst it does not directly appeal to the general public, it targets a specific group - border workers and their employers -, urging them to take immediate action.
Government invests in the wellbeing of whānau Māori	Moderate	The announcement includes a call to action, but it's not universal—it's narrow and specific to employers of business travelers who meet several pre-defined criteria. The promoters request these businesses to check the criteria carefully and then submit an Expressions of Interest (EOI) for their qualifying employees for the self-isolation pilot program during a specific period of time. The language used encourages action but is not urgent or compelling towards the general public.
More vaccinators coming on board for COVID_19 campaign	Moderate	The government announcement works towards encouraging the remaining individuals, particularly those in the border workforce, to get vaccinated against COVID-19. The call to action is not explicitly strong but is nonetheless present, as Minister Chris Hipkins says, “Anyone who has been uncertain about getting vaccinated has one more day to ask any outstanding questions and get that first dose. You will then have 35 days to get your second one following the deadline.” This statement not only suggests an urgency in taking the vaccine but also highlights the importance of getting the second dose. However, it is considered 'moderate' as the language is not highly compelling or direct, but rather supportive and encouraging.
Further COVID_19 economic support for Cook Islands and Fiji announced	None	The announcement does not contain any clear request or demand for the public or readers to take action. Instead, it focuses on informing the public about new government initiatives regarding mental health support in the context of COVID-19. The majority of the announcement is dedicated to describing the funding and services provided by the government to support mental health, but it does not ask the audience to do, change or support anything specifically.
Joint Statement_ New Zealand and Australian Trade Ministers	Moderate	This announcement encourages the public to take an action - getting vaccinated - but it does this in a moderate way. It does not use particularly urgent or compelling language, but rather, shows appreciation for those who have already taken the vaccine and and also provides updates about the current status of the vaccine rollout. The minister also explicitly thanks everyone who has been vaccinated or has made a booking to get vaccinated, sending out a positive message to encourage more people to participate in the vaccination program.
Limited change to onsite learning _ for senior secondary students _ in Level 3 regions	Moderate	The announcement urges the Māori community to continue their vaccination efforts, but it does so not in a very urgent nor compelling tone. It displays an appreciation for the effort put forth so far and then encourages the population to continue with phrases like 'We must now build on the collective mahi...' and 'So, let’s keep this massive effort going...', but it stops short of a more direct and immediate call to action. Instead, it encourages further participation, making this a moderate call to action.
Therapeutic Products Bill introduced	None	The announcement is primarily communicating the Foreign Affairs Minister's visit to Rwanda, her meetings with foreign counterparts, and the discussions and agreements at the Commonwealth meeting. However, it does not include any directives or requests for specific actions from the public or the reader. Instead, it concentrates on informing the public about these diplomatic engagements and their outcomes.
New booster plan in time for winter	Strong	The announcement involves strong and direct language urging the public to take specific actions related to the COVID-19 pandemic. It emphasizes the necessity for eligible individuals to get their booster shots and wear masks to reduce virus transmission. Specific instructions about mask types are given, along with the provision of contact numbers and websites to book vaccinations. The call to action is centered on promoting public health protection measures, with a strong emphasis on immediate compliance.
COVID_19 vaccine slated for possible approval next week	None	This announcement focuses solely on informing the public about the current financial state of the government, the economic recovery plan, COVID-19 impact, and future priorities. It does not request any specific action or behavior change from the public or reader regarding the COVID-19 vaccine rollout or any other measure.
COVID_19 vaccinator workforce tracking well for peak of rollout	Moderate	The announcement provides various communication options and encourages disabled people and those living with impairments to reach out for assistance regarding the COVID-19 vaccination. While the language used is not particularly urgent or compelling, it does suggest a level of importance in taking action. With multiple contact methods listed, the call to action directs disabled people to utilise the added resources to facilitate their vaccination process, promoting active participation.
Additional Pfizer vaccines to arrive tomorrow	None	This extensive announcement provides a detailed overview of discussions and agreements on various topics during the Australia-New Zealand Leaders’ Meeting. It covers a range of topics from COVID-19 responses, Pacific relations, trans-Tasman cooperation, people-to-people ties, climate change, global trade, to international security issues. However, it does not include direct appeals or recommendations for the public to take any specific action, but mainly focuses on relaying information about government plans, commitments and ongoing collaborations.
Government funding to fight infectious diseases	None	This particular announcement details the government's action regarding the rollout of the Pfizer/BioNTech COVID-19 vaccine in New Zealand. The focus is on giving information about the imminent arrival of the vaccines, the order of priority for vaccination and the vaccination schedule. The announcement does not prompt the readers or the public to take any specific action.
Workplace vaccination guidance updated	None	The announcement primarily informs about the meeting chaired by New Zealand's Prime Minister and the discussions therein. It outlines the focus on global vaccination efforts, safe reconnections with the world, and the nation's role as an APEC 2021 Chair. However, it does not explicitly ask the public or reader to do something or take a certain course of action related to the COVID-19 pandemic or vaccine rollout.
AstraZeneca arrives in New Zealand_ second COVID_19 vaccine available this month	Weak	The announcement urges the public to take action, but does so with a minimal sense of urgency. It does not directly call out readers to take steps immediately but rather makes a general statement referencing the available vaccines and the government's goal of reaching at least "90% vaccination rates across all DHBs." It's designed to encourage the public to get vaccinated without providing a strong, direct call to action.
Covid_19 immigration powers to be extended	Weak	During the entire announcement, the minister’s focus is primarily on informing the public about the new funding initiative to help communities disseminate accurate information on the COVID-19 vaccine. The only suggested action is for ethnic community organizations to apply for the support they need to disseminate information more effectively in their communities. There isn't a strong, clear directive suggesting for the public to get vaccinated or to visit the proposed website to apply for funding or even to encourage others to get the vaccination. Thus, the call to action is quite weak.
Govt reminds international arrivals to test for Covid	None	The announcement is purely informational, outlining the government's actions regarding the purchase of COVID-19 vaccines and their potential availability. There is no explicit urging or suggestion for the public or reader to take a specific action in response to the information provided.
Foreign Ministers attend virtual Pacific Islands Forum	Moderate	The announcement gently encourages the public to take action on two primary actions - getting vaccinated if they haven't done so yet, particularly emphasized for specific communities that have yet lower vaccination rates, and seeking out additional information from trusted sources if they have questions about the vaccine. Rather than using strong, urgent language, the announcement uses inviting and encouraging terms such as "I encourage everyone," and "it's never been easier", highlighting the accessible venues and detailed sources available. The announcement brings attention to the impact and benefit of wider vaccination as a call to action but in a moderate, supportive manner.
New_Zealand to donate 250_000 courses of COVID_19 vaccines to Fiji	None	This announcement, principally focused on the country's financial state and Government projections, does not include any call to action aimed at the public or reader. The message is more explanatory describing the government's past, current, and future financial strategies but does not ask the reader to respond or undertake any specific action.
Second COVID_19 vaccine booster for the most vulnerable	Moderate	The announcement encourages the public to take action but not with utmost urgency. The call to action here is the invitation to use the online parenting programs available, specifically the Triple P series. The language encourages use of these resources as a method to help manage the mental wellbeing of children and families during COVID-19 disruption, but it does not use strong, urgent language or imply immediate action.
Pasifika celebrated in New Year Honours	Moderate	The announcement encourages the public to take action in getting vaccinated against COVID-19, but the language and tone are not extremely forceful or urgent. The Minister especially emphasizes the importance of vaccination for Māori communities, showcasing various initiatives to boost vaccination and urging them to continue seeking vaccination not only for themselves but also for their elderly, children, and communities. However, this urging is done politely and respectfully, without pressuring language or alarming elements, making it a moderate call to action.
Government invests to support a classic Kiwi summer	Moderate	The announcement encourages the public to take action, but does not express extreme urgency. The government is urging vaccinated New Zealanders to attend and enjoy summer events and support local artists, musicians and shows. However, this is posed more as a recommendation rather than an immediate necessity, hence the consideration as a moderate call to action. Alongside this, event organisers are encouraged to register their event, making it another moderate call to action present in the announcement.
Vaccine bookings brought forward for New Zealanders aged 50_plus	Moderate	While this government announcement is largely informing the public about the plans regarding the COVID-19 vaccine and its rollout, it includes a moderate call to action where it invites New Zealanders aged 50-plus to book their vaccination. This is done without strong, compelling language but rather as an encouragement suggesting the importance of getting vaccinated. The call to action is seen in the lines: "People in the 50-plus group who are eligible don’t have to wait to receive an invitation. They can make their own booking from Friday 13 August at 8am." It's also specified how they can book their vaccine, either online or via a dedicated helpline. This suggests a call for public participation in the vaccination process.
COVID_19 Information vital to Māori vaccination and immunisation programme	Moderate	The announcement encourages the public, specifically Māori whānau, hapū, and iwi, to seek information and make informed choices about the COVID-19 vaccine. This is evident in the statement, "As the vaccine becomes available to more groups, and all of Aotearoa from July, ensure you have the information you need to play your part in protecting our whānau, hapū, iwi, and whakapapa." However, the language is not as direct or compelling as one would expect in a 'strong call to action'.
One million New Zealanders vaccinated against flu	Strong	The announcement strongly urges the public to action in a direct manner. It specifically targets the eligible groups and insists heavily on the importance of getting vaccinated for the flu to alleviate pressure on the health system. Phrases like "it’s important everyone eligible for a free flu jab gets one", "it’s really important to get it now" and "Vaccination is the best way to protect ourselves from getting sick..." impart a strong urgency for the public to get vaccinated without delay.
Government backs critical health research	None	The announcement does not directly urge the reader or the public to do anything specific. The content is largely informational, focusing on describing the government's plans with respect to health research funding, ongoing health concerns and recognizing indigenous health research. No specific actions or responses are requested or suggested from the reader or the larger public.
More medicines for more New Zealanders	None	The announcement mainly informs the public about the decisions and actions of the government and their plan to provide certain medical services for free. However, it does not ask the audience to take any specific actions related to the new services or any other health measures, hence there is no call to action for the public or reader.
Targeted second COVID_19 booster a step closer	None	The announcement does not involve any requests or directions for public action or specific steps to follow. It is primarily focused on providing an update about changes to the Medicines Act and informing about the upcoming decision on eligibility for a second booster. The announcement's aim is to inform, but it does not contain a direct request for the public to respond or act.
Half a million Pfizer vaccines from Denmark	Strong	The announcement directly implores the public or reader several times to take action. Prime Minister Ardern uses strong, compelling language aimed at the New Zealand public, such as "I strongly encourage every New Zealander not yet vaccinated to do so as soon as possible," and "we need everyone to get vaccinated to protect family and loved ones and to prevent future lockdowns." She is urging the public to take immediate action in getting vaccinated.
New Zealand donates more COVID_19 vaccines to COVAX and the Pacific	None	The announcement is primarily sharing information about the government's actions and plans. It discusses the donation of vaccines to various Pacific countries and the COVAX Facility, and outlines the plans for domestic vaccine rollout. However, there is no part of the announcement directly urging the public or reader to take any specific action - the focus is purely on information dissemination.
Next phase of support for Fiji_s COVID_19 response announced	None	The announcement outlines the actions taken by the New Zealand government in supporting Fiji's COVID-19 response. Although the announcement aims to inform the public of the ongoing efforts, it does not urge the public or reader to take any specific action. The focus of the discussion lays predominantly on the measures and financial assistances provided by the government and it doesn't facilitate any direct instruction or recommendation for the general public.
Aotearoa New Zealand and Fiji sign new partnership statement	None	This government announcement primarily focuses on informing the public about the signing and attributes of the new Duavata Partnership between Fiji and New Zealand, as well as the mutual appreciation and commitments of their leaders. However, it does not engage the public by asking or suggesting any form of participation, contribution, or action from them. Therefore, no call to action is present. The only potential “action” is to visit the website link mentioned to read the full Statement of Partnership, but it appears as informative rather than a compelling request.
Joint Declaration on Strategic Partnership between the Government of New Zealand and the Government of the Kingdom of Spain	None	This announcement does not explicitly urge the public or the reader to take any specific or immediate actions. Instead, the announcement is about outlining the cooperative agreement between Spain and New Zealand across various areas including climate change, gender equality, COVID-19 recovery, and more. While areas for further action are identified, these actions are expected to be taken by the governments of Spain and New Zealand rather than by the public or the reader.
New Zealand provides additional funding to COVAX for vaccine delivery	None	The announcement does not directly instruct the public or reader to perform any concrete actions. Instead, it is mainly focused on informing the public about the government's decision to contribute additional funding to COVAX, emphasizing its commitment to supporting global access to COVID-19 vaccines. The announcement does not make any specific requests of the public or imply that they should respond or take any specific action.
New award recognises MIQ staff	None	The announcement is primarily informing the public about the new award established by the government to recognise key contributors to the COVID-19 response, with MIQ staff as the first recipients. The focus of the announcement lies in detailing the significant role of MIQ workers and their sacrifices during the pandemic, underlining the reason behind the inaugural recognition. There's no specific instruction or request urging the public or reader to undertake any action based on the information provided.
Traffic light levels announced	Moderate	The announcement includes a call to action, but it doesn't convey a sense of immediate urgency. The Prime Minister encourages certain members of the public - those due for a second vaccine dose - to go get one and asks New Zealanders to utilize their Vaccine Passes to continue participating in activities previously deemed high risk. It also reiterates the necessity to adhere to new regional color-coded guidelines, but stops short of strongly urging the public to take instant action. The call to action is significant but delivered in a moderate, non-compelling tone.
More free flu vaccines and a second COVID_19 booster to groups at risk of hospitalisation	Strong	The announcement contains strong calls to action for the public. Its language is direct and urges immediate action, including phrases such as "please act now", "The best thing New Zealanders can do... is to be up-to-date with their flu and COVID-19 vaccinations and boosters", and "anyone who is eligible for a second booster can get one without a prescription". Furthermore, it provides comprehensive information on how and where to obtain these vaccinations and boosters, which emphasizes this sense of urgency and directness towards the public.
Strong Government books leave New Zealand well placed amid global challenges	None	The announcement is focused entirely on explaining government actions, financial plans, and achievements, without urging any specific action from the public or reader. It provides detailed insights into fiscal performance and future projections, but does not invite or instruct public participation in any form.
Aotearoa New Zealand supports Tokelau response to COVID_19	None	This announcement does not make any direct or indirect call to the public or reader to take any specific action. Instead, it focuses entirely on explaining the efforts and actions that the government and its associated entities are taking in response to the first cases of COVID-19 in Tokelau. No instructions, advice or requests are directed towards the public.
Working together on resilience and climate action in Niue	None	The announcement mainly shares information about the Foreign Minister's visit, the ongoing cooperation between New Zealand and Niue, and various initiatives and measures. Throughout the text, it does not ask or urge the public or reader to take any specific action related to the COVID-19 vaccine rollout or any other matter.
New Zealand_s support for Fiji_s COVID_19 response continues with vaccine delivery_ operational support	None	The announcement primarily elaborates on the New Zealand government's support for Fiji, discussing their funding and provision of vaccines, nursing staff, and other material aids in response to Fiji's struggle with the COVID-19 pandemic. The text doesn't include any direct appeal to the public or reader to undertake specific actions. This makes the announcement informative, but devoid of any call-to-action component.
Prime Minister to chair APEC Leaders Meeting	None	The announcement does not contain any explicit or implicit directives for the public or reader to engage in any specific actions. The announcement is primarily informational, detailing plans, events, and future endeavors connected with the APEC 2021 Leaders Week and New Zealand's hosting duties. While it discusses the ongoing management of COVID-19 and regional cooperation, it does not prompt the reader to do anything in particular in relation to these issues.
Second COVID_19 vaccine receives provisional approval	None	The announcement is focused on informing the public about new developments in the COVID-19 vaccine options in New Zealand and the approval of the Janssen vaccine. It does not urge the public or reader to take any specific action. The statement is more informational, discussing government actions and plans, without directly asking the reader to respond or participate.
NZ ready to provide _75m for Pacific and global COVID_19 vaccination support	None	The government announcement primarily focuses on sharing New Zealand's strategies and financial commitments to aid the Pacific nations in the COVID-19 vaccine rollout. The announcement details how New Zealand is preparing for the vaccine distribution and their financial contributions towards global accessibility of these vaccines. However, it does not make any direct requests or instructions for the public or reader to follow. Thus, there is no call to action for the reader or public in this announcement.
Prime Minister_s Speech to NZIIA Annual Conference	None	The announcement focuses on informing the public about the government's financial standing, policy response, and economic recovery amid the COVID-19 pandemic. It describes measures that the government has taken, such as acting swiftly, providing wage subsidies, investing in infrastructure, and keeping public debt low. Although the statement mentions the ongoing COVID-19 situation and the vaccine rollout, it does not direct the public to take any particular action or participate.
Govt_s careful economic management recognised	None	This announcement is primarily focused on informing the public about the government's plans and actions around supporting Māori communities in the COVID-19 vaccination effort, but it doesn't specifically urge the readers to do anything. It explains various amounts allocated for different Māori organizations, and how they are intended to bolster vaccination rates and other responses to the pandemic. However, there is no direct appeal or call to action for the public or reader.
_23_5m to support community_led Māori vaccination campaigns	None	The announcement does not explicitly urge, recommend, or suggest any specific action by the public or reader. It is focused on providing information about the arrival and plans for the rollout of the vaccine, including who will be vaccinated first. The emphasis is on government actions and plans, rather than calling the public or reader to action.
First batch of COVID_19 vaccine arrives in NZ	Moderate	The announcement encourages actions from the public but does not necessarily use strong or compelling language. The Minister of Health urges individuals to stay up to date with vaccinations, isolate if unwell, wear masks, and consider getting the COVID-19 booster shots when eligible. These actions are presented more as recommendations rather than immediate or urgent tasks. However, they still reflect a call to action as they provide specific actions that the public should follow to reduce the impact of COVID-19 making it a moderate call to action.
Vaccination isolation and masks remain key to public safety this winter	Strong	This announcement integrates a strong call to action throughout, making it abundantly clear that the government is urging the public to get vaccinated immediately. Phrases such as "The choice is clear for anyone who wants to go to a bar, restaurant, gym or to attend gatherings", "these new requirements are a strong incentive for those who still haven’t had their first dose to do so quickly", and "if you haven’t booked a first dose – do it today" all explicitly and compellingly implore the reader to act swiftly to safeguard their freedoms and minimize COVID-19's threat. It also communicates the severe consequences of remaining unvaccinated, which is another form of strong call to action - invoking the fear of missing out and the risk of infection.
New COVID_19 Protection Framework delivers greater freedoms for vaccinated New Zealanders	Strong	This announcement contains a strong call to action as it encourages parents and caregivers to have their children vaccinated against COVID-19, stating that it is a significant way to protect not only the children but also their families and communities from the virus. The government supports this call with clear instructions on how to book vaccination appointments, including details on walk-in clinics and online vaccination booking, as well as healthline contact details for further assistance. The announcement emphasizes that this is the parents' choice, but the tone is still very firm in promoting uptake of the vaccine.
Government confirms COVID_19 vaccinations to protect tamariki	Weak	The announcement contains mostly information about government action and funding, rather than urging the public to act. A weak call to action comes in the form of underlying emphasis on the importance of vaccination and the role the community plays in reaching out to vaccination hesitant individuals. The announcement, however, lacks explicit phrases or commands urging the readers to directly participate or respond. The only explicit request is for Māori and iwi organizations to apply for funding, but this pertains to a specific sector rather than the public at large.
Funding boost supports ongoing Māori COVID_19 response	Strong	The announcement uses direct and compelling language to encourage the public, particularly workers, to take immediate action. This is especially seen in the lines towards the end which read, "these workers will need to be fully vaccinated by 17 January 2022 to continue doing that work," and "For those who are not yet vaccinated, especially workers in areas where My Vaccine Passes can be applied, there are 10 days left to get your first dose." It also uses emotional appeal in the phrase, "It is free, safe and the most effective way to keep you, your whānau, business and customers safe. It’s a simple contribution to keeping all New Zealanders safe from COVID-19." These statements make an urgent case for vaccination perspectives.
Govt providing business the tools to vaccinate workforces	None	This announcement does not include any statements directly urging the public or reader to take any action. Instead, it mainly focuses on informing about the New Zealand government's activities and plans regarding the donation of vaccines, with no explicit appeals for readers to respond or participate in any way.
