title	call_to_action_label	call_to_action_explanation
New vaccine advice for adults living with adults who are immunosuppressed	Moderate	The announcement encourages the public to get the COVID-19 vaccine with a particular focus on those over 16 who live with adults with weakened immune systems. While it doesn't use direct, compelling language, it highlights the importance of this action to limit the spread of virus to vulnerable individuals. However, it stops short of direct guidance on how to proceed, which would have formed a strong call to action.
Statement on offering COVID-19 vaccines to at-risk young people	Moderate	The announcement encourages the public to take action but without a sense of immediate urgency. The Health and Social Care Secretary specifically encourages everyone who is eligible to get their COVID-19 vaccinations as soon as they can, suggesting the importance of taking part in the vaccination program. However, the language used does not apply a strong sense of urgency or direct request.
Statement from Secretary of State for Health and Social Care, Matt Hancock on testing and vaccinations	Moderate	The announcement encourages the public to take action by adhering to the specified rules to mitigate the spread of the virus. The language used suggests the importance of each individual's compliance, highlighting that "we must all play our part and follow the rules that we know can bend the curve." However, while the emphasis is on the collective effort, it doesn't convey a sense of immediate urgency or direct, specific actions the reader should take; this is why it is classified as a moderate call to action.
One-dose Janssen COVID-19 vaccine approved by the MHRA	None	The announcement does not directly urge the public or readers to take specific action, instead it focuses on delivering information about the approval of the COVID-19 Vaccine Janssen, explains the process, give details about who can receive the vaccine and provides additional notes and contact information for media inquiries. While it does mention who can get this vaccine, it's not in a way that actively encourages or requests action from the reader.
Janssen coronavirus (COVID-19) vaccine authorised by UK medicines regulator	Moderate	The majority of the announcement is informational in nature, with updates from the Government and the MHRA on the newly authorised Janssen vaccine and the progress of the vaccination programme. However, there is a moderately worded call to action embedded within the announcement. Health and Social Care Secretary, Matt Hancock and Vaccine Deployment Minister, Nadhim Zahawi encourage the public to receive their jabs when eligible. The language is encouraging rather than commanding, hence the classification as a moderate call to action.
PM hails ‘herculean effort’ of life science companies to defeat coronavirus	None	The government announcement describes plans and actions led by the Prime Minister, pharmaceutical companies and other stakeholders in the process of developing and distributing the COVID-19 vaccine. It also emphasizes the collaborative efforts and future plans to prevent pandemics. However, it does not specifically urge the public or reader to undertake any particular action. The information is positioned to inform and update, rather than incite public action.
Statement from Vaccine Deployment Minister Nadhim Zahawi on vaccine deployment	Moderate	The announcement encourages the public to participate in the vaccination program, by hinting at its expansion and the accessibility of the National Booking service. The call to action is more explicit towards the end, where the reader is urged to "play our part by sticking to the rules and remembering those simple steps: hands, face, space." This suggests a moderate level of urgency, as it emphasizes the importance of preventive measures during the vaccine rollout and the role of every individual in the fight against COVID-19. However, it's not strongly compelling immediate action.
Every adult in UK offered COVID-19 vaccine	Strong	The announcement contains direct statements urging the public to get vaccinated as quickly as possible. There are multiple calls throughout the text, including from the Prime Minister and the Health and Social Care Secretary. Phrases such as "Public are urged to come forward for jabs as soon as possible", "People are urged to get their first and second doses as soon as possible" and "Please come forward for your vaccines if you haven’t already" add to the strong call to action, directing the audience to take immediate action in regards to vaccination. Furthermore, a sense of urgency and importance of getting the vaccine is created by highlighting the benefits of being vaccinated, such as easing of restrictions, as well as the potential consequences of not being vaccinated.
Letter from the Health and Social Care Secretary on COVID-19 vaccination to protect severely immunosuppressed adults	None	The announcement is merely indicating that there is correspondence between Matt Hancock, the Health and Social Care Secretary, and Professor Wei Shen Lim at the Joint Committee on Vaction and Immunisation (JCVI). It contains no urging or encouragement towards the public or reader to engage in any action, either by way of guidelines, recommendations or immediate action. Instead, it appears to be informing about a contact or dialogue relating to health and social care amidst the COVID-19 vaccine rollout.
All adults in England offered COVID-19 booster vaccine	Strong	The announcement urges the public to take immediate action in multiple places. It strongly pushes for everyone who has not yet taken the booster jab to "Get Boosted Now". Phrases such as "grab your jab" and "book your booster now" emphasize the urgency. It also directly addresses those who may have delayed their appointment due to other illnesses or COVID-19 infection and encourages them to book a jab as soon as they recover or 28 days have passed. Further, it mentions how easy it is to get the vaccine, making it a clear call to action with a high level of urgency.
New vaccines partnership to rapidly respond to new virus variants	Moderate	The government announcement contains a moderate call to action directed at the public. The Vaccines Minister Nadhim Zahawi urges the public to "continue to take up the chance to have a vaccine when they are invited to," emphasizing the safety and effectiveness of the vaccines. Although the call to action is clear, it is presented as an encouragement rather than a demand or urgent plea, hence it's classified as a moderate call to action.
Pre-departure testing removed for vaccinated travellers	Moderate	The government announcement presents various calls to action throughout the text, although none can be considered very strong or immediate. These include guidance for eligible travelers to understand they can take a lateral flow test instead of a PCR on their arrival, the prompt for those receiving a positive lateral flow test result to self-isolate immediately and order a NHS PCR test, guidance to wear face coverings, wash hands regularly, and work from home, as well as the recommendation for unvaccinated passengers to continue following the testing protocol and self-isolation period. The most emphatic call made perhaps is the emphasis on those who have not been vaccinated to come forward for their vaccine. While there are directives present, the overall tone in delivering these guidelines is not highly pressuring or compelling, thus explaining the moderate label.
Oxford University/AstraZeneca vaccine authorised by UK medicines regulator	Moderate	The announcement gives a call for public action in a couple of areas: compliance with local restrictions and continued following of "hands, face, space" guidelines. While it doesn't use direct and strong language, it emphasizes the importance of these actions in suppressing the virus and keeping the NHS from being overwhelmed, correlating public action with the success of the vaccination program. The language suggests that the public's response continues to be vital amidst the release of the vaccine, hence it's considered a moderate call to action.
The most vulnerable and health and care workers offered COVID-19 jab as government hits target to protect those most at risk	Moderate	The announcement encourages the public to take action with a moderate sense of urgency, primarily in two forms: encouraging people who have been offered a vaccine to come forward and receive it, and reminding everyone, vaccinated or not, to continue following safety measures like staying at home when possible. The tone isn't urgent or forceful and the language isn't overtly compelling, hence making it a moderate call to action.
Further support for Birmingham, Blackpool, Cheshire East, Cheshire West and Chester, Liverpool City region and Warrington to tackle Delta (B1.617.2) variant	Strong	The announcement strongly encourages the public to act by getting tested, taking the vaccine when eligible, and upholding the safety measures such as maintaining hygiene, social distancing, and avoiding unnecessary travel. The Health Secretary and the Chief Executive of the UK Health Security Agency both directly appeal to the public to take these steps to suppress and control the spread of the virus variant. They emphasize that these actions are instrumental in combating the virus and ensuring community safety. The call to action is thus direct, urgent, and targeted at the public, which classified it as a strong call to action.
Oral statement to update on the Omicron variant	Moderate	In this announcement, the government encourages the public to take action but it is not strongly worded or asserting a high degree of urgency. There are calls for individuals to take steps such as getting vaccinated when the time comes, following the updated rules, and getting rapid regular tests. These calls to actions are important, but the tone is more informative than enforcing immediate action and the messaging leans more towards recommendations rather than commands.
More leading businesses join vaccine uptake drive	Strong	The announcement strongly urges the public, specifically young people, to get vaccinated and incentivizes them with offers from businesses. Statements such as "Young people urged to come forward for both doses as soon as possible", "get the jab as soon as possible and take advantage of these excellent offers" and "urge everyone to get the jab and get shopping with these excellent discounts" explicitly call the public to take immediate action to get vaccinated.
Government and faith leaders join forces to support booster drive	Strong	The announcement uses compelling language to drive immediate action from the public, emphasizing the urgency by noting the increase of the Omicron variant. It repeatedly requests the public to take the COVID-19 vaccine, specifically encouraging those from every background to participate in this "national mission" and "national effort." This is seen in statements such as "we need everyone from every community to come forward to get ahead of this virus" and "it is never too late to get your vaccine." They also provide practical steps on how to get vaccinated and specifically address faith communities and minority ethnic communities in their appeal, making this a strong call to action.
UK to host global summit with CEPI to speed up new vaccine development	None	The announcement is purely informational and outlines the UK government's plan to host a summit with the Coalition for Epidemic Preparedness Innovations (CEPI) to raise funds for vaccine research and development to combat future pandemics. There is no indication within the announcement that directs or encourages the public or reader to take any sort of action.
Government and life science industry join forces on 100 Days Mission for future pandemics	None	Although the announcement talks about collective efforts in combating disease and pandemic and the importance of collaboration across various sectors, it does not directly ask the public or reader to take any specific action. Instead, it focuses on informing what the government, industry leaders, and academia are planning and doing to prepare for future pandemics. Moreover, the announcement is more directed towards reporting on G7 Health Ministers' meetings and plans for future pandemic preparedness, rather than requesting action from the general public.
Update on the Vaccine Taskforce: 1 March 2021	None	This announcement primarily provides an update on the changes in the management and administration of the COVID-19 vaccination program. It emphasizes the UK government's accomplishments, but it does not urge or encourage the public or the reader to do or take any specific action. Instead, the announcement focuses on explaining government decisions, the role of the Vaccine Taskforce, and the future plans of the vaccine rollout. It concludes with outlet for media queries, but it doesn't actively urge the reader to participate or respond.
Deputy Chief Medical Officer Jonathan Van-Tam opinion piece in The Sunday Telegraph	Moderate	This announcement encourages the reader to take action but does so in a fairly moderate way. The recognized actions include individuals getting both of their vaccine doses, adhering to guidelines even after being vaccinated to not aid in further spread of the virus, and supporting the ongoing strategy of vaccinating as many individuals as possible. Although not directly urging immediate action, the tone and context suggest the effectiveness of the suggested actions in having a direct impact on managing the pandemic.
UK aid and Unilever reach 1 billion people with global hygiene campaign to tackle COVID-19	None	The announcement focuses primarily on the collaborative efforts between the UK government, Unilever and other partners in tackling the spread of COVID-19, specifically through hygiene campaigns, providing sanitation supplies, and vaccinations. It does not specifically urge or suggest any measure for the public or reader to take, but serves as primarily an information update on their initiatives. Therefore, there is no call to action directed at the public or reader.
Armed Forces now working in hospitals, vaccine centres, and testing across all four nations	None	The announcement primarily provides updates about the involvement and contribution of Armed Forces personnel in the vaccine rollout, testing, and support for the National Health Service during the COVID-19 pandemic. It does not explicitly or implicitly instruct the public to take any specific action, nor does it request that readers do something particular in response to the given information. Instead, the content is focused on informing the reader about the efforts of the government and military to combat the pandemic.
4 in 5 people aged 16 and over vaccinated with both doses	Strong	The announcement contains several direct appeals to the public, urging them in clear and compelling terms to get the COVID-19 vaccine. The text uses lines such as "Getting your vaccine has never been easier, and I urge everyone to continue to play their part by getting the jab to protect themselves, their families and their communities", "Everyone eligible should not delay in getting their jab as soon as possible", and "The message for 16 and 17 year olds is ‘don’t miss out on half terms plans, good times, and the COVID jab’". This language strongly encourages its audience to act, emphasizing the importance of action for their personal benefit and the wellbeing of their communities.
MHRA statement on booster doses of Pfizer and AstraZeneca COVID-19 vaccines	None	The announcement primarily focuses on communicating changes in regulatory concerns about COVID-19 vaccines and their potential use as booster shots. It does not directly urge or engage the public or reader to take any specific actions. Instead, it serves to inform the public about regulatory decisions and the potential use of vaccines. The information about media enquiries and the news centre is also aimed at detailed explanation, rather than directing the reader to take some action.
JCVI issues interim advice on COVID-19 booster vaccination	Moderate	The announcement does encourage the public, specifically particular high-risk groups and frontline workers, to participate in getting vaccinated in the proposed two-stage COVID-19 booster programme and annual flu vaccine. However, the call to action is presented more as guidance and not a strong or urgent requirement. It primarily focuses on providing information about the plans and goals of the program, urging participation in a moderate tone.
COVID-19 vaccinations and community-based social care workers	None	The announcement simply states that a letter from Minister Whately has been issued outlining plans for vaccinating community-based social care workers. It does not include any specific requests, demands, or recommendations directed at the public or reader, instead providing informational content on government plans.
Community Champions to give COVID-19 vaccine advice and boost take up	Weak	The announcement outlines a lot of information about councils, funding and specific schemes in place to combat the COVID-19, specifically focusing on engaging community champions to improve information dissemination about COVID-19 and vaccines. However, there is no explicit and direct call to actions for the public or reader. The only indirect call to action identified is the encouragement to community champions to work closely with their local networks and councils to provide necessary advice regarding COVID-19 and vaccines. Therefore, it can be considered as a weak call to action.
JCVI issues new advice on COVID-19 vaccination for pregnant women	Moderate	The announcement encourages pregnant women to take moderate action by recommending that they consider getting vaccinated due to the higher risk of severe outcomes from COVID-19 during pregnancy. It advises a preference for the Pfizer-BioNTech or Moderna vaccines due to comprehensive real-world safety data. Women are urged to discuss the risks and benefits with their clinician, however, this is presented as a decision making recommendation, not a strict mandate. Furthermore, the announcement encourages the public to take up the offer of vaccination when it is their turn, but again, this is proposed rather than enforced. Thus, the prompt displays a moderate call to action.
With UK aid support, people in Côte d’Ivoire to be first vaccinated through COVAX: Foreign Secretary's statement	None	This government announcement mainly informs the public about the steps the UK government is taking in distributing the COVID-19 vaccines across the globe, specifically in developing nations, through the COVAX initiative. There's also mention of the UK's role in a UN resolution. While it calls on other donors to increase their support, this isn't directly aimed at the general public. Therefore, no specific course of action is urged for the public or reader in this announcement.
The MHRA concludes positive safety profile for Pfizer/BioNTech vaccine in 12- to 15-year-olds	None	This announcement does not contain any explicit request or suggestion for the public or reader to take a specific action. It is primarily focused on providing information about the Medicines and Healthcare products Regulatory Agency's approval of the Pfizer/BioNTech COVID-19 for 12 to 15-year-olds and reaffirming its safety, efficacy, and quality. The aim seems to be to increase public trust and acceptance but does not directly ask for action.
UK secures extra 60 million Pfizer/BioNTech COVID-19 vaccines	Moderate	The announcement encourages the public to get vaccinated as soon as they are eligible. It does not apply strong, compelling language, but rather uses more informative and suggestive tone. Particularly, Vaccines Minister Nadhim Zahawi says, "I urge everybody to get their vaccines as soon as they are eligible". This portrays a sense of urgency and importance but does not quite constitute a strong, urgent call to action.
More than half of over 18s boosted against COVID-19	Strong	This announcement strongly urges the public to take action. The phrases "All eligible urged to book and get booster as soon as possible", "I urge all of those who have not yet done so to book their booster or find a walk-in centre to Get Boosted Now", "Do not delay. Book your booster today – it might be the most important thing you do this winter", "I would urge anyone yet to book in for their life-saving booster to do so at the earliest opportunity" clearly show a strong call to action. They imply a sense of immediate urgency and importance for the public to get their booster shots to protect themselves and others against the Omicron variant of COVID-19.
JCVI advice on COVID-19 booster vaccines for those aged 18 to 39 and a second dose for ages 12 to 15	Strong	The announcement explicitly urges the public to take immediate action by getting their COVID-19 booster shot when they're eligible. The phrase "If you are eligible for a booster, please take up the offer and keep yourself protected as we head into winter" is a strong call to action, as it uses compelling language to motivate the reader to participate in their personal health and the broader public health context.
UK donates COVID-19 vaccines to Malawi	Moderate	The announcement includes an appeal to action primarily in the quotes from the UNICEF Malawi Acting Representative and the WHO Representative for Malawi. They encourage the public to receive the vaccine, though the verbiage does not seem particularly urgent or stern. Instead, it reads more as a resolute encouragement or suggestion. This makes the call to action moderate, as it guides the reader to participate in the vaccination efforts but does so in a calm and affirming manner. The rest of the announcement mainly informs on actions that the government and other entities are taking.
Oral statement on easing of coronavirus restrictions	Moderate	The announcement does contain various instances of calls to action, though they are not delivered in the most direct or compelling language. People are urged to get both doses of the vaccine, to get tested and to engage with the support options on offer. Additionally, people aged 40 and above are encouraged to respond to the NHS's call to bring their second jab forward. The strength of the call to action is moderate because it encourages public participation to an extent but does not push for immediate action with strong urgency or compelling language.
Government to introduce COVID-19 vaccination as a condition of deployment for all frontline health and social care workers	Moderate	This announcement encourages health and social care workers to get their COVID-19 vaccination, reinforcing the importance and benefits of being vaccinated. The call to action is focused on encouraging these individuals to protect themselves, their colleagues, and their patients. However, there isn't a strong sense of urgency or compelling language employed to invoke immediate action, which is why the call to action is considered moderate.
Coronavirus vaccine for UK nationals living in the Czech Republic	Moderate	The announcement moderately encourages the readers, specifically the British and other residents in the Czech Republic, to take action. This is seen in their urging of residents who are eligible for a vaccine to register for it. Instructions are given on how to register using their health insurance number, indicating that steps have been taken to address previous registration issues. However, the language used is informative and directive, rather than stirring strong urgency, which makes it a moderate call to action.
7 in 10 young people aged 18 to 29 vaccinated with a first dose	Strong	The announcement strongly urges the public to take immediate action with the repeated call to get vaccinated. Phrases like "I’d encourage anyone to get both doses of the vaccine as soon as possible," "If you’re yet to get your jab, do not delay – get booked in," and "Please come forward for your jabs if you haven’t already" show a strong call to action. Further, it informs individuals how they can act, by booking an appointment online or calling 119, and makes clear the immediate consequences of inaction by stating the necessity of vaccination proof for entering nightclubs and large crowd venues.
Pregnant women urged to get COVID-19 vaccine following new UK safety data	Strong	The announcement provides a strong call to action, directly urging pregnant women to get their COVID-19 vaccines. Statements such as "The country’s top doctors and medical experts are urging pregnant women to get their COVID-19 vaccine as soon as possible," "we encourage pregnant women to come forward and receive the vaccine," and "I urge everyone, including pregnant women, to get their vaccine as soon as they can to take advantage of this crucial protection," among others, use direct and compelling language specifically aimed at the reader. The sense of urgency and importance is reinforced repeatedly throughout the text by different officials.
New data show vaccines reduce severe COVID-19 in older adults	Moderate	The announcement encourages the public or reader to take action with moderate urgency, specifically urging those who have been vaccinated to continue practicing good hand hygiene and stay at home. While there is emphasis on the effectivity and importance of the vaccine, the call to not ease precautions even post-vaccination still forms a strong part of the message. However, the call is not made with immediate urgency or strong compelling language, thus making it a moderate call to action.
UK health ministers’ statement on JCVI advice (13 April 2021)	Moderate	The announcement urges certain public groups to get vaccinated when "...they are offered...", specifically referring to males, those in BAME communities, people with a high BMI, and those experiencing socio-economic deprivation within the ages of 18-49. However, the phrasing is relatively moderate and not excessively urgent or assertive. The announcement also suggests to local health systems to use their understanding and clear communications to promote vaccinations but stops shy of making it a strong or obligatory demand.
More than 4 million people receive first dose of COVID-19 vaccine in UK	Moderate	The announcement motivates the public to take action with clear, yet moderate urgency. Suggested actions include assisting elderly (80+) community members with their vaccination appointments, signing up for clinical trials for COVID-19 vaccines and treatments, and staying updated with NHS advice and sharing accurate information. Although the language isn't forceful, the directives are clear and aimed directly at the reader.
COVID-19 vaccines have prevented 7.2 million infections and 27,000 deaths	Moderate	The announcement encourages the public to take action with moderate urgency. It suggests getting both doses of the COVID-19 vaccine as soon as possible, highlighting it as the most important thing individuals can do to avoid spreading the virus. It uses data-backed arguments ("the staggering impact of the vaccination programme") instead of urgent or compelling language to underline the importance, making it a moderate rather than strong call to action.
Health Secretary urges G20 to protect clinical trial pioneers and recognise vaccines	Weak	The announcement mainly focuses on informing the public about the UK government's stance and actions regarding the recognition of vaccine trial participants' vaccination status. Although there is an implied call for clinical trial participants to continue their participation and for the public to trust the vaccine, these calls are largely indirect and not urgently or forcefully presented. The main call to action is to G20 health ministers rather than the public.
JCVI issues updated advice on COVID-19 vaccination of children aged 12 to 15	None	This specific announcement does not urge the public or reader to take any specific action directly. It primarily focuses on informing, explaining, or describing the decisions and assessments of the Joint Committee on Vaccination and Immunisation (JCVI) as well as describing the health conditions under which 12 to 15 year-olds should receive the COVID-19 vaccine. While there are implied actions for people in specific health categories, there is no direct or explicit call-to-action for the reader or general public.
Supply chain workers crucial to vaccination programme to receive jabs	None	This announcement is primarily informing the public about the government's initiative to prioritize vaccination for key workers involved in the COVID-19 vaccine supply chain. It does not request, suggest, or demand any action from the public or the reader. Rather, it is detailing the steps the government is taking to ensure the continuity of vaccine supplies. The responsibility for identifying eligible workers is placed on their employers, not the general public. There isn't any call for response or participation from the public or the reader in this announcement.
UK will provide vaccines to COP26 delegates	None	The announcement is an informative piece about the UK government's plan to offer vaccinations to certain delegates and related parties who cannot access vaccines via other means. It provides vital dates and context for this initiative, but does not urge the public or the reader to take any specific action. It mainly focuses on conveying the government's measures and plans, rather than soliciting a response or action from the reader.
Consultation launched on staff COVID-19 vaccines in care homes with older adult residents	Strong	There are several strong calls to action throughout the announcement. Both the public (specifically care home workers) and stakeholders are urged to participate in the 5-week consultation and voice their opinion on mandatory vaccinations in care homes. They're also encouraged to get vaccinated protecting themselves and the most vulnerable individuals that they care for. Besides, there is a continuous emphasis on the importance, safety, and effectiveness of vaccination, which implicitly encourages everyone to get vaccinated. Furthermore, it calls on those who are signaled to take up the vaccine to do so promptly.
Our vaccination programme is a national success story	Moderate	The announcement urges the public and reader to continue getting vaccinated, promote the vaccination programme, and adhere to the regulations laid out by the government to quarantine at home and combat the spread of COVID-19. However, the language used is not particularly assertive or urgent, hence the identifier 'moderate'. It mentions the need for individuals to "do their duty", and thanks those who have, but does not explicitly state that they must do those actions, rather implying it. Similarly, it calls for continued vigilance against the virus but does not strongly implore the reader to immediately participate or respond.
Three quarters of UK adults vaccinated with first dose	Strong	This government announcement strongly urges the public to take immediate action. The calls to action are clear, direct, and repeated throughout the announcement. The public is urged to come forward for their second doses of the COVID-19 vaccine, seek their first dose if they haven't yet done so, and attend their appointments when called. It emphasizes the critical importance of receiving both doses, shortening the interval between doses, and calls on everyone to play their part in getting back to normality. Additionally, it stresses on the significance of vaccines in saving lives, reducing serious illness, hospitalisations and protecting loved ones. Therefore, this announcement can be characterized by a strong call to action.
One dose of COVID-19 vaccine can cut household transmission by up to half	Strong	The announcement contains strong calls to action, urging the public to get vaccinated as well as to continue with the public health protocols of hand hygiene and social distancing. It is direct in its request, particularly in the phrases "I urge everybody to get their vaccines as soon as they are eligible and make sure you get your second dose for the strongest possible protection" and "I encourage anyone who is offered a vaccine to take it as soon as possible." There's also a call to act like one still has the virus even after vaccination. The use of urgent words such as "urge" and "encourage" presents a clear, strong, and compelling call to action.
All young people aged 16 and 17 in England to be offered vaccine by next week	Strong	The announcement strongly urges 16-17 year olds to get vaccinated, pointing out the newly launched walk-in site finder to locate nearest vaccination centres, the openings at GP-led local vaccination sites, the option of booking through the National Booking Service or by calling 119, and the opportunity for 'grab a jab' at pop-up sites. The government officials involved use strong, direct language, such as "Please don’t delay - get your jabs as soon as you can" and "I urge everybody else to get their vaccines as soon as possible." The urgency is heightened by mentioning the desired completion date of Monday, 23 August and the importance of vaccination before the return to school. The mention of texting eligible citizens further shows the push for quick action.
MHRA statement on expansion of the COVID-19 vaccination booster programme	Moderate	The announcement encourages the public to participate in their vaccination program, but the language used is not overly urgent or compelling. The key call to action can be found in this line: "When you are called for your booster dose, you can come forward confident that the benefits in preventing serious COVID-19 far outweigh any risks." This statement is urging the public to follow through with getting their booster dose when it's their turn. However, there isn't any strong, direct language demanding action. Hence the label, moderate call to action.
More than 30 million people vaccinated with second dose	Strong	The announcement uses a direct, urgent, and compelling language targeted at the public. Phrases like "Public urged to come forward for second doses", "I encourage everyone over 23 to come forward and get the jab", "I encourage everyone to come forward for the vaccine, and for the crucial second dose when the offer comes", and "I urge everyone who is yet to receive their jab, to do so when eligible" all indicate a strong call to action. These phrases exhort citizens to actively participate in the vaccination process, emphasizing the importance of receiving both doses of the vaccine.
Over 10 million people in the UK receive COVID-19 top-up vaccines	Strong	The announcement several times urges the public to take their booster jab. The Minister of Health, Vaccines Minister, and the NHS deputy vaccination programme lead directly call on individuals to get vaccinated as soon as they can. It also instructs people to book vaccinations in advance, use walk-in centers, or call 119 to schedule their vaccination. The language used is direct and pressing, highlighting the urgency in boosting immunity against COVID-19 amidst the winter season.
All adults to be offered COVID-19 boosters by end of January	Strong	The announcement effectively uses direct and compelling language to urge the public or reader to take action. Phrases such as "People urged to get booster when it’s their turn", "we all have a role to play – so step up, roll up your sleeves, and get protected when the time comes", and "Getting your jab is the most important thing you can do ahead of Christmas to keep yourself safe from the virus – do not delay in booking as soon as you’re eligible" are all strong calls to action for getting the booster jab, targeting all eligible adults. It also actively encourages those eligible for a free flu vaccine to come forward and avail it.
Moderna COVID-19 vaccine approved by MHRA in 12-17 year olds	None	This announcement focuses on informing the public about the extension of the Spikevax vaccine's use to 12-17 year olds. It reiterates the safety and efficacy of the vaccine in this age group and explains the process for monitoring the safety of vaccines. However, it does not directly urge the public or 12-17 year olds to get vaccinated or take any specific action at this point.
Prime Minister kicks off major new science initiative at visit of MHRA’s National Institute for Biological Standards and Control	None	The announcement does not urge the public or reader to take any specific action. Rather, the announcement's primary goal is to inform the public about the ongoing work and achievements of the MHRA and the NIBSC during the COVID-19 pandemic, as well as future plans. The content largely focuses on the performance exchange between the Prime Minister and the institution, without including a direct invitation for the public to take any specific action such as following guidelines, getting vaccinated, or participating in any initiative.
Over 40 million people receive first dose of COVID-19 vaccine in UK	Strong	The announcement strongly implores the public to get their COVID-19 vaccines, underlining the importance of participation in the immunization rollout. Statements by various government officials, such as "I encourage everyone who is eligible to join the millions who have the fullest possible protection from this virus by getting their jab when the time comes" and "The offer is open to everyone over the age of 30, so when you get the call, get the jab. It could save your life and protect your loved ones," are clear instances of a strong call to action. Emphasis is put on the urgency and benefits of getting vaccinated, pushing for immediate public action.
New cutting-edge testing centre to fast-track COVID-19 variant vaccines	Weak	The announcement contains a weak call to action as it ends with a general advice given by Dr. Jenny Harries saying that the best way to prevent the spread of variants is to follow public health advice and remember hands, face, space. However, there isn't a clear or direct call to undertake any particular activity or behavior. Most of the announcement is focused on informing the public about the government's actions and plans.
Over half of pregnant women have now had one or more doses of COVID-19 vaccines	Moderate	The announcement encourages the public or reader to take action with moderate urgency. While the government does not use strong, compelling language commanding immediate action, they still urge pregnant women who have not yet received their vaccine to come forward for their jab. The advice is specifically directed towards a defined group (pregnant women), and the announcement emphasizes the importance of this action by highlighting the increased risk of severe illness from COVID-19 for unvaccinated women, along with the safety and effectiveness of the vaccines.
Letter from the Health and Social Care Secretary on use of the Moderna vaccine	None	The announcement doesn't urge the public or reader to take any specific action. It simply informs about letters between the Health and Social Care Secretary and the Joint Committee on Vaccination and Immunisation, focusing on information rather than a call to action.
UK charities join together to boost vaccine drive	Moderate	The announcement calls for the public to participate, especially those of cohort 6 suffering from underlying health conditions or acting as adult carers, to get the vaccine. Remarks about the importance of taking the vaccine, especially from the Health and Social Care Secretary Matt Hancock and the Minister for Vaccines, Nadhim Zahawi, indicate a call to action. Encouragement also comes through the quotes from leaders of the listed charities, who are working in collaboration with the government. However, the language used is more suggestive than demanding, hence the categorisation as a moderate call to action.
Pfizer/BioNTech COVID-19 vaccine: MHRA statement confirming data received	None	This announcement seems to be mostly informational, providing updates on the Pfizer/BioNTech COVID-19 vaccine's review process. It emphasizes the government's ongoing work and commitment to safety but does not request any specific action from the general public or reader. The focus is primarily on informing the public about the vaccine's status and the evaluation process.
JCVI issues advice on third dose vaccination for severely immunosuppressed	Weak	The announcement mainly focusses on explaining the importance of and the rationale behind a third vaccine dose for those with severe immunosuppression. While it does imply that these individuals should receive a third dose, and that the timing should be decided with their specialist, the language used is not overly urgent or compelling to the reader. There's no direct instruction or plea to the public or reader to immediately take the action of getting vaccinated, but more of a passive suggestion or recommendation for a specific group. Therefore, it can be considered as a weak call to action.
Update to Parliament on self-isolation rules	Moderate	The announcement encourages the audience to take action but without creating a strong sense of urgency. Actions urged by the government include getting vaccinated and following instructions on self-isolation and testing protocols. The call to action is presented in a more passive and informative way rather than an immediate directive. Examples include the encouragement to play their part to protect themselves and others and the advice for fully vaccinated individuals to take a PCR test if they have been in close contact with a positive case.
British public urged to play their part in historic vaccine roll out	Strong	The government announcement strongly urges the public to take immediate and significant action to support the COVID-19 vaccine rollout. This call to action materializes in three specific ways: helping the elderly attend their vaccination appointments and volunteering in the community ('Help out'); participating in clinical trials for COVID-19 vaccines and treatments ('Join up'); and staying informed about and spreading accurate information regarding the vaccines ('Stay informed'). The repeated urging, including the phrase "I urge everyone... to come forward and take on our three pledges" from Health Secretary Matt Hancock, indicates a high level of urgency and expected participation from the public.
Celebrities get back to the ‘Rhythm of Life’ in new film supporting COVID-19 vaccination programme	Strong	The announcement contains numerous direct calls to the reader to take action. Firstly, it urges the public to get their vaccines; this is done multiple times, including quotes from celebrities endorsing vaccination. Secondly, it advises those eligible and called for vaccination not to delay making their appointments. Lastly, there is an invitation to the public to watch the film, and also information about how to book or manage a COVID-19 vaccination appointment. The urgency and importance of these actions are underlined by the context, fame of endorsers, and frequency of repetition.
More than a third of over 80s vaccinated against COVID-19	Moderate	The announcement presents a moderate call to action wherein Dr. Mary Ramsay implores the public to "continue to follow the guidance that is in place to protect themselves and their loved ones". This can be viewed as moderate due to the fact that it is not demanding immediate action, instead advising the public to continue complying with existing measures to control the virus spread. This call to action, although not stating it directly, also suggests the importance of getting vaccinated. So, while it isn't a pressing or immediately urgent call, it does encourage some form of continued action.
JCVI issues interim advice on Phase 2 of COVID-19 vaccination programme rollout	Moderate	The announcement encourages the public, particularly those at higher risk of hospitalisation from COVID-19, to promptly take the vaccine when they are offered. It particularly emphasizes on groups including people aged 40 to 49 years, people aged 30 to 39 years, people aged 18 to 29 years, men, those from BAME communities, those with a BMI over 30 and those living in deprived neighborhoods. There's substantial emphasis placed on expediting the vaccine process which could suggest urgency, but the language used does not carry a tone of immediacy or compel the reader to action. On the other hand, the local health teams are advised rather strongly to give priority to promoting vaccine uptake in these groups. However, as this particular call to action is directed to a specific body and not the general public, it doesn't affect the overall label.
